date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:44	243/243	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Feb%202015%2021:01:45%20GMT	http://culsc.sa.utoronto.ca/robots.txt		(from )
16:01:45	16410/16410	---M-Z	200	added ('OK')	text/html	etag:%2289349-401a-4f095b8215073%22	http://culsc.sa.utoronto.ca/	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/index.html	(from )
16:01:45	6115/6115	---M-Z	200	added ('OK')	text/css	etag:%2289035-17e3-4bab4c9f50400%22	http://culsc.sa.utoronto.ca/css/main.css	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/css/main.css	(from http://culsc.sa.utoronto.ca/)
16:01:45	8852/8852	---M-Z	200	added ('OK')	text/css	etag:%228906c-2294-49f97032cfa40%22	http://culsc.sa.utoronto.ca/fancybox/jquery.fancybox-1.3.4.css	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/fancybox/jquery.fancybox-1.3.4.css	(from http://culsc.sa.utoronto.ca/)
16:01:46	15624/15624	---M-Z	200	added ('OK')	application/javascript	etag:%228906e-3d08-49f97033c3c80%22	http://culsc.sa.utoronto.ca/fancybox/jquery.fancybox-1.3.4.pack.js	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/fancybox/jquery.fancybox-1.3.4.pack.js	(from http://culsc.sa.utoronto.ca/)
16:01:46	3089/3089	---M-Z	200	added ('OK')	application/javascript	etag:%225bc2-c11-4f116f3664519%22	http://culsc.sa.utoronto.ca/js/main.js	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/js/main.js	(from http://culsc.sa.utoronto.ca/)
16:01:46	16410/16410	---M-Z	200	added ('OK')	text/html	etag:%2289349-401a-4f095b8215073%22	http://culsc.sa.utoronto.ca/index.htm	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/index-2.html	(from http://culsc.sa.utoronto.ca/)
16:01:46	6655/6655	---M-Z	200	added ('OK')	text/html	etag:%2289032-19ff-4ede968388487%22	http://culsc.sa.utoronto.ca/about.htm	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/about.html	(from http://culsc.sa.utoronto.ca/)
16:01:47	5673/5673	---M-Z	200	added ('OK')	text/html	etag:%228934c-1629-4ede8cc2d640a%22	http://culsc.sa.utoronto.ca/schedule.htm	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/schedule.html	(from http://culsc.sa.utoronto.ca/)
16:01:47	4069/4069	---M-Z	200	added ('OK')	text/html	etag:%2289071-fe5-4ede97734af99%22	http://culsc.sa.utoronto.ca/feedback.htm	C:/My%20Web%20Sites/CULSC/culsc.sa.utoronto.ca/feedback.html	(from http://culsc.sa.utoronto.ca/)
